,Callsign,Service,Channel,City,State,Country,Facility ID Number (unique to each station),N (North) or S (South) Latitude,Degrees Latitude,Minutes Latitude,Seconds Latitude,W (West) or (E) East Longitude,Degrees Longitude,Minutes Longitude,Seconds Longitude,Licensee or Permittee,long_decimal,lat_decimal
12319,KCAH-LP,FL,242,CARTHAGE,MO,US,131696,N,37,10,6.2,W,94,18,34.8,IGLESIA CRISTIANA HISPANO-AMERICANA,-94.30966666666666,37.168388888888884
12320,K242CT,FX,242,COLUMBIA,MO,US,154581,N,38,57,19.1,W,92,16,20.7,"ZIMMER RADIO OF MID-MISSOURI, INC.",-92.27241666666667,38.95530555555556
12321,WFUN-FM,FM,242,ST. LOUIS,MO,US,27022,N,38,34,27.9,W,90,19,31.8,"AUDACY LICENSE, LLC",-90.32549999999999,38.57441666666667
12322,WFUN-FM,FS,242,ST. LOUIS,MO,US,27022,N,38,36,47.2,W,90,20,9.4,"AUDACY LICENSE, LLC",-90.33594444444444,38.61311111111111
12323,WQRG-LP,FL,242,DIAMONDHEAD,MS,US,192745,N,30,30,26.3,W,89,26,59.9,"HANCOCK COUNTY AMATEUR RADIO ASSOC.,INC.",-89.44997222222223,30.507305555555554
12324,WUSJ,FM,242,MADISON,MS,US,62050,N,32,11,29.5,W,90,24,22.3,"NEW SOUTH RADIO, INC.",-90.40619444444445,32.19152777777777
12325,WUSJ,FS,242,MADISON,MS,US,62050,N,32,23,12.5,W,90,9,47.3,"NEW SOUTH RADIO, INC.",-90.1631388888889,32.386805555555554
12326,WUSJ,FS,242,MADISON,MS,US,62050,N,32,23,12.5,W,90,9,47.3,"NEW SOUTH RADIO, INC.",-90.1631388888889,32.386805555555554
12327,WXWX,FM,242,MARIETTA,MS,US,171032,N,34,24,33.4,W,88,32,24.2,"GEORGE S. FLINN,",-88.54005555555555,34.409277777777774
12328,K242DC,FX,242,BIG SKY,MT,US,18326,N,45,16,28.1,W,111,23,37.1,MONTANA STATE UNIVERSITY - BILLINGS,-111.3936388888889,45.27447222222222
12329,KRZN,FM,242,BILLINGS,MT,US,78476,N,45,45,36.8,W,108,27,11.5,"DESERT MOUNTAIN BROADCASTING LICENSES, LLC",-108.45319444444445,45.760222222222225
12330,KBAZ,FM,242,HAMILTON,MT,US,4700,N,46,48,7.7,W,113,58,24.3,"TOWNSQUARE LICENSE, LLC",-113.97341666666667,46.802138888888884
12331,K242CX,FX,242,HELENA,MT,US,36655,N,46,46,6.7,W,112,1,23.9,"THE MONTANA RADIO COMPANY, LLC",-112.02330555555555,46.76852777777778
12332,W242CC,FX,242,BETHANIA,NC,US,138683,N,36,4,26.5,W,80,15,17.2,DELMARVA EDUCATIONAL ASSOCIATION,-80.25477777777778,36.07402777777778
12333,W242CD,FX,242,GREENSBORO,NC,US,142274,N,36,3,42.0,W,79,47,34.0,DELMARVA EDUCATIONAL ASSOCIATION,-79.79277777777777,36.06166666666666
